file_name,text,duration_seconds,source_file
clip_088.wav,"Bozordagi o‘sish avjiga chiqqan 2023-yilda uylar narxi fundamental qiymatidan 23 foizgacha, 2024-yilda esa 18 foizgacha baland bo‘lgan.",9.44,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_028.wav,"Bugungi g'alvali, soxta dunyoda mana shunday asarlarni o‘qib turing.",3.44,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_052.wav,"Meteorologlar bunday sharoitda respublika aholisi, ayniqsa Toshkentda yashovchilarni ko‘chaga kamroq chiqish, chiqqanda ham",7.21,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_011.wav,"Asarning burilish nuqtasi — Ramazonning chayqovchi sifatida qo‘lga olinishi. U bu aybni tushunmaydi ham, sudda aytgan har bir",6.66,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_009.wav,"Shahar esa mutlaqo boshqa olam: insonlar bu yerda qadamini ehtiyot bo‘lib bosadi, yuzlarida hech qachon to‘liq samimiyat ko‘rinmaydi, muvaffaqiyat, manfaat, hisob-kitob.",9.72,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_078.wav,tig‘iz vaqtlarda yuk avtomobillari harakatini cheklash ham ko‘zda tutilgan.,4.36,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_093.wav,"emas, keyinroq qimmatiga sotish niyatida uy sotib oluvchi investorlarning qiziqishi susaygan.",5.58,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_079.wav,Qurilish sohasida esa developerlar oldiga yangi talablar qo‘yilishi mumkin. Qurilish obyektlari,5.24,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_060.wav,"Abduhakimov shuningdek, yangi tashkil etilayotgan ekopoli­siya boshlig‘i lavozimini ham egallaydi.",5.37,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_056.wav,"choralar belgilandi. Avvalo, Ekologiya organining vakolatlari va moliyaviy ta’minoti oshirildi.",5.48,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_022.wav,Adibimiz Erkin A’zam qishloq odamidagi soddalik uning kamchiligi emas.,4.48,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_085.wav,"Uning so'zlariga ko‘ra, uchrashuvda O‘zbekistonning tashqi siyosati, ekologik holat",5.56,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_075.wav,"Havoning ifloslanishi muammosiga kelsak, qarorga bu bo‘yicha ham ayrim choralar kiritilgan.",5.24,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_046.wav,Ijtimoiy tarmoqlar esa changli Toshkent suratlar bilan to‘lgan.,3.23,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_071.wav,"Bajarilsa 2026-chi yil 1-apreldan e’tiboran, mahallalarda daraxtlar o‘sib turgan va hali egasi topib ulgurilmagan yer maydonlarini",8.37,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_045.wav,"Atigi bir hafta ichida bu raqam qariyb 200 mingtaga oshib, 800 mingtaga yaqinlashib qoldi.",5.58,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_065.wav,"Bundan tashqari endi hatto Vazirlar Mahkamasi ham na daraxt kesishga, na daraxtlarni ko‘chirib o‘tkazishga ruxsat bera oladi.",7.46,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_070.wav,"Qarorga asosan, yashillikni saqlab qolish tarafdori bo‘lgan jamoatchilik ihtiyorida yangi vosita paydo bo‘lishi kutilyapdi. Agar topshiriq o‘z vaqtida",8.37,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_089.wav,2025-yilning birinchi yarmiga kelib esa bu farq 4% gacha qisqargan.,4.19,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_032.wav,"Viloyatda bo‘lishi oydinlashdi, oxiri ko‘rinmas korrupsiya, yangiliklar lentasida yana poraxo‘rliklar hit-paradi.",8.6,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_034.wav,Yigirma birinchi noyabr kuni Toshkent shahri havosining iflosligi bo‘yicha yana bir bor dunyo reytingida birinchi o‘ringa chiqdi.,7.07,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_057.wav,"Ekologiya vazirligi Vazirlar Mahkamasi tarkibidan chiqarilib,",3.44,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_068.wav,Ekologiya sohasidagi qonunchilik talablariga rioya qilmaslikka istisno tariqasida ruxsat berish vakolati ham bekor qilindi.,7.31,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_004.wav,Erkin A’zamning “Anoyining jaydari olmasi” asari haqida gaplashamiz.,4.59,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_074.wav,Bu taqiq kadastr bazasida ham aks etadi. Natijada odamlar o‘zlari bexabar holda mahallasidagi daraxt zararidan ajralib qolishining oldi olinadi.,7.94,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_084.wav,Iste’fosi ma’lum bo‘lgan kuni Kusherbayevning o‘zi AQShning Toshkentdagi elchisi bilan uchrashganini ma’lum qildi.,5.56,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_072.wav,Jamoatchilik ixtiyorida saqlab qolish uchun Davlat xizmatlari markazi yoki my.gov.uz portali orqali tashabbus kiritish imkoni yaratildi.,8.37,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_066.wav,"Prezident qarori bilan bosh vazirdan tortib, barcha vazirlar, idoralar rahbarlari va hokimlargacha daraxt va butalarni kesib",7.31,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_038.wav,"Mavsum tugaganiga qaramay, favvoralar va mikroiqlim tizimlari ham yoqib qo‘yilgan.",4.57,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_077.wav,1-dekabrdan AI-80 benzini sotuvini to‘xtatish. Mazut va shunga o‘xshash yuqori ifloslantiruvchi yoqilg‘ilardan foydalanilganlik uchun javobgarlik kiritish.,9.22,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_040.wav,Bir necha soat ichida changni sezilarli darajada kamaytirish imkonini beradi.,3.88,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_024.wav,"Qalbimizdagi bolalik, poklik, soddalik qayergadir ketadi",3.54,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_049.wav,**Avvallari xorij xabarlarda ko‘rganimiz smogning ayni o‘zginasi.**,3.44,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_037.wav,Juma kuni Toshkentda changni bostirish uchun yo‘llar va daraxtlarga suv sepila boshlandi.,5.02,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_064.wav,Tashkiliy yangiliklardan yana biri — tuman ekologiya bo‘limlari hokimlar bo‘ysunog‘iga o‘tmaydigan bo‘ldi.,6.53,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_039.wav,"Poytaxt hokimlariga ko‘ra, bu chora muammoni bartaraf eta olmasa ham",4.72,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_083.wav,"Sohadagi eng taniqli kishilardan biri, Ekologiya vaziri maslahatchisi Rasul Kusherbayev esa lavozimidan ozod qilindi.",5.9,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_008.wav,"Kimni ko‘rsa quchoqlaydi, begona bilan ham bir daqiqada do‘st bo‘ladi.",3.28,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_059.wav,Abduhakimov bir vaqtning o‘zida prezident maslahatchisi sifatida ham faoliyat yuritadi.,5.79,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_081.wav,Binolarni loyihalashtirishda shamol yo‘nalishi va tezligini ham inobatga olish kabi talablar shular jumlasida.,6.67,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_012.wav,"Har bir gapi, har bir xatosi uning hayot qonuniyatlarini tushunmasligidan emas, balki dunyodagi makkorlikka ishonmasligidan.",6.66,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_063.wav,Ularning maxsus kiyimiga bodi-kameralar o‘rnatiladi.,3.08,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_036.wav,Lekin bu gal vaziyatga rasmiylarning reaksiyasi boshqacharoq bo‘ldi.,3.57,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_043.wav,"Tezkor shtab tuzilgani, vaziyatni barqarorlashtirish uchun barcha choralar ko‘rilayotgani aytilgan.",5.89,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_014.wav,"Hikoyada fojia Ramazonning boshiga tushmaydi, fojia uning jo‘rasida.",4.19,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_002.wav,Kattalar hayotidagi qo'pol va manfaatli olamning to'qnashuvi haqida,3.48,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_091.wav,spekulyativ talabning pasaygani va qurilish-qilish xarajatlarining oshgani bilan bog‘liq.,4.12,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_053.wav,"niqob taqish, bolalar, keksalar va surunkali kasalligi borlarni iloji boricha iflos havodan himoya qilishga chaqirdi.",7.21,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_092.wav,"Oddiyroq aytganda, uylar narxidagi yuqoriga sakrashlar to‘xtagandan keyin, yashash uchun",5.58,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_080.wav,yaqiniga onlayn kamera va havo sifatini monitoring qilib boruvchi stansiya o‘rnatish.,5.24,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_042.wav,Ekologiya qo‘mitasining bu haqidagi xabarida esa Toshkentda havo ifloslanishini kamaytirish uchun,5.89,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_050.wav,"**O‘zgidromet izohiga ko‘ra, havoning bunchalik yomonlashib ketishida antropogen omillardan tashqari tabiiy omillarning**",6.5,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_061.wav,Ekopolitsiya shu paytgacha faoliyat yuritib kelgan Ekologiya inspeksiyasi va tabiatni muhofaza qilish bo‘yicha hududiy prokuraturalar negizida tashkil etiladi.,9.86,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_058.wav,Institutsional mustaqillikka erishgan va endi faqat prezidentga bo‘ysunadigan qo‘mita raisi,5.79,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_062.wav,"Ekopolitsiya xodimlari jismoniy kuch ishlatish, elektroshoker, rezina o‘qli va to'r otuvchi qurollarni qo‘llash huquqiga ega dep belgilandi.",9.86,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_017.wav,"U hayotda yutadi, lekin inson sifatida yutqazib boradi.",3.1,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_094.wav,"Boshqa tomondan, qurilish xarajatlarining oshishi uy-joyning fundamental qiymati ko‘tarilishiga olib kelgan.",5.51,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_003.wav,O‘nlab og‘riqli savollar ta’sirida qolib ketasiz. Bugun biz 5 daqiqada O‘zbekning katta yozuvchilaridan biri.,6.22,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_055.wav,Seshanba kuni imzolangan prezident qarori bilan ekologik vaziyatni barqarorlashtirishga oid qator,5.48,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
